Date,Incident,Priority,Category,Subcategory,Assignment_Group,Global Change
08-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
07-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
08-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
09-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010463,Yes,No,Yes,Yes,3
10-10-2025,INC0010467,Yes,No,Yes,Yes,3
10-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,No,Yes,Yes,3
10-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010444,Yes,No,Yes,Yes,3
10-10-2025,INC0010476,Yes,No,No,Yes,2
10-10-2025,INC0010463,Yes,No,No,Yes,2
10-10-2025,INC0010467,Yes,No,No,Yes,2
10-10-2025,INC0010441,Yes,No,No,Yes,2
10-10-2025,INC0010496,Yes,No,Yes,Yes,3
10-10-2025,INC0010819,Yes,Yes,Yes,Yes,4
10-10-2025,INC0010442,Yes,No,No,Yes,2
10-10-2025,INC0010497,Yes,No,No,Yes,2
10-10-2025,INC0010444,Yes,No,No,Yes,2
10-10-2025,INC0010819,Yes,No,Yes,Yes,3
10-10-2025,INC0010820,Yes,Yes,Yes,Yes,4
14-10-2025,INC0010476,Yes,No,No,Yes,2
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,Yes,No,No,Yes,2
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0011100,Yes,No,No,Yes,2
14-10-2025,INC0011100,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,No,No,No,Yes,1
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,No,No,No,Yes,1
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0010476,No,No,No,Yes,1
14-10-2025,INC0010463,Yes,No,No,Yes,2
14-10-2025,INC0010467,Yes,No,No,Yes,2
14-10-2025,INC0010441,Yes,No,No,Yes,2
14-10-2025,INC0010826,Yes,No,No,Yes,2
14-10-2025,INC0010820,Yes,No,No,Yes,2
14-10-2025,INC0011100,No,No,No,Yes,1
14-10-2025,INC0010496,Yes,No,No,Yes,2
14-10-2025,INC0010819,Yes,No,No,Yes,2
14-10-2025,INC0010442,Yes,No,No,Yes,2
14-10-2025,INC0011093,Yes,No,No,Yes,2
14-10-2025,INC0010497,Yes,No,No,Yes,2
14-10-2025,INC0010444,Yes,No,No,Yes,2
14-10-2025,INC0011103,Yes,Yes,Yes,Yes,4
14-10-2025,INC0011109,No,No,No,Yes,1
15-10-2025,INC0011131,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010476,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010463,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010467,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011109,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010441,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010826,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010820,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011100,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010496,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010819,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011135,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010442,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011093,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010497,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011103,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010444,Yes,Yes,Yes,Yes,4
29-10-2025,INC0011131,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010476,Yes,Yes,Yes,No,3
29-10-2025,INC0010463,Yes,Yes,Yes,No,3
29-10-2025,INC0010467,Yes,Yes,Yes,No,3
29-10-2025,INC0011109,Yes,Yes,Yes,No,3
29-10-2025,INC0010441,Yes,Yes,Yes,No,3
29-10-2025,INC0010826,Yes,Yes,Yes,No,3
29-10-2025,INC0010820,Yes,Yes,Yes,No,3
29-10-2025,INC0011100,Yes,Yes,Yes,No,3
29-10-2025,INC0010496,Yes,Yes,Yes,No,3
29-10-2025,INC0010819,Yes,Yes,Yes,No,3
29-10-2025,INC0011135,Yes,Yes,Yes,No,3
29-10-2025,INC0010442,Yes,Yes,Yes,No,3
29-10-2025,INC0011093,Yes,Yes,Yes,No,3
29-10-2025,INC0011176,Yes,Yes,Yes,Yes,4
29-10-2025,INC0010497,Yes,Yes,Yes,No,3
29-10-2025,INC0011103,Yes,Yes,Yes,No,3
29-10-2025,INC0010444,Yes,Yes,Yes,No,3
29-10-2025,INC0011131,Yes,Yes,Yes,No,3
30-10-2025,INC0010476,Yes,Yes,Yes,No,3
30-10-2025,INC0010463,Yes,Yes,Yes,No,3
30-10-2025,INC0010467,Yes,Yes,Yes,No,3
30-10-2025,INC0011177,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011109,Yes,Yes,Yes,No,3
30-10-2025,INC0010441,Yes,Yes,Yes,No,3
30-10-2025,INC0010826,Yes,Yes,Yes,No,3
30-10-2025,INC0010820,Yes,Yes,Yes,No,3
30-10-2025,INC0011100,Yes,Yes,Yes,No,3
30-10-2025,INC0010496,Yes,Yes,Yes,No,3
30-10-2025,INC0010819,Yes,Yes,Yes,No,3
30-10-2025,INC0011135,Yes,Yes,Yes,No,3
30-10-2025,INC0010442,Yes,Yes,Yes,No,3
30-10-2025,INC0011093,Yes,Yes,Yes,No,3
30-10-2025,INC0011176,Yes,Yes,Yes,No,3
30-10-2025,INC0010497,Yes,Yes,Yes,No,3
30-10-2025,INC0011103,Yes,Yes,Yes,No,3
30-10-2025,INC0010444,Yes,Yes,Yes,No,3
30-10-2025,INC0011131,Yes,Yes,Yes,No,3
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,Yes,Yes,Yes,4
30-10-2025,INC0011109,Yes,No,No,Yes,2
30-10-2025,INC0010441,Yes,No,No,Yes,2
30-10-2025,INC0010826,Yes,No,No,Yes,2
30-10-2025,INC0010820,Yes,No,No,Yes,2
30-10-2025,INC0011100,Yes,No,No,Yes,2
30-10-2025,INC0010496,Yes,No,No,Yes,2
30-10-2025,INC0010819,Yes,No,No,Yes,2
30-10-2025,INC0011135,Yes,No,No,Yes,2
30-10-2025,INC0010442,Yes,No,No,Yes,2
30-10-2025,INC0011093,Yes,No,No,Yes,2
30-10-2025,INC0011176,Yes,Yes,Yes,Yes,4
30-10-2025,INC0010497,Yes,No,No,Yes,2
30-10-2025,INC0011103,Yes,No,No,Yes,2
30-10-2025,INC0010444,Yes,No,No,Yes,2
30-10-2025,INC0011131,Yes,No,No,Yes,2
30-10-2025,INC0010476,Yes,No,No,Yes,2
30-10-2025,INC0010463,Yes,No,No,Yes,2
30-10-2025,INC0010467,Yes,No,No,Yes,2
30-10-2025,INC0011177,Yes,No,No,Yes,2
